2018-10-27 16:20:52,379 | WARN  | Transport Connection to: tcp://127.0.0.1:56126 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56126@61616
2018-10-27 16:20:52,379 | WARN  | Transport Connection to: tcp://127.0.0.1:56039 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56039@61616
2018-10-27 16:20:52,379 | WARN  | Transport Connection to: tcp://127.0.0.1:56137 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56137@61616
2018-10-27 16:20:52,379 | WARN  | Transport Connection to: tcp://127.0.0.1:56058 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56058@61616
2018-10-27 16:20:52,379 | WARN  | Transport Connection to: tcp://127.0.0.1:56121 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56121@61616
2018-10-27 16:20:52,379 | WARN  | Transport Connection to: tcp://127.0.0.1:56070 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56070@61616
2018-10-27 16:20:52,379 | WARN  | Transport Connection to: tcp://127.0.0.1:56032 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56032@61616
2018-10-27 16:20:52,378 | WARN  | Transport Connection to: tcp://127.0.0.1:56006 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56006@61616
2018-10-27 16:20:52,378 | WARN  | Transport Connection to: tcp://127.0.0.1:55980 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55980@61616
2018-10-27 16:20:52,378 | WARN  | Transport Connection to: tcp://127.0.0.1:56134 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56134@61616
2018-10-27 16:20:52,378 | WARN  | Transport Connection to: tcp://127.0.0.1:55964 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55964@61616
2018-10-27 16:20:52,378 | WARN  | Transport Connection to: tcp://127.0.0.1:56130 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56130@61616
2018-10-27 16:20:52,378 | WARN  | Transport Connection to: tcp://127.0.0.1:56129 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56129@61616
2018-10-27 16:20:52,378 | WARN  | Transport Connection to: tcp://127.0.0.1:56128 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56128@61616
2018-10-27 16:20:52,378 | WARN  | Transport Connection to: tcp://127.0.0.1:56127 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56127@61616
2018-10-27 16:20:52,378 | WARN  | Transport Connection to: tcp://127.0.0.1:56125 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56125@61616
2018-10-27 16:20:52,378 | WARN  | Transport Connection to: tcp://127.0.0.1:56124 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56124@61616
2018-10-27 16:20:52,378 | WARN  | Transport Connection to: tcp://127.0.0.1:56119 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56119@61616
2018-10-27 16:20:52,378 | WARN  | Transport Connection to: tcp://127.0.0.1:56118 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56118@61616
2018-10-27 16:20:52,378 | WARN  | Transport Connection to: tcp://127.0.0.1:56115 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56115@61616
2018-10-27 16:20:52,378 | WARN  | Transport Connection to: tcp://127.0.0.1:56114 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56114@61616
2018-10-27 16:20:52,378 | WARN  | Transport Connection to: tcp://127.0.0.1:56112 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56112@61616
2018-10-27 16:20:52,378 | WARN  | Transport Connection to: tcp://127.0.0.1:56113 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56113@61616
2018-10-27 16:20:52,378 | WARN  | Transport Connection to: tcp://127.0.0.1:56110 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56110@61616
2018-10-27 16:20:52,378 | WARN  | Transport Connection to: tcp://127.0.0.1:56106 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56106@61616
2018-10-27 16:20:52,378 | WARN  | Transport Connection to: tcp://127.0.0.1:56105 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56105@61616
2018-10-27 16:20:52,378 | WARN  | Transport Connection to: tcp://127.0.0.1:56166 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56166@61616
2018-10-27 16:20:52,378 | WARN  | Transport Connection to: tcp://127.0.0.1:56079 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56079@61616
2018-10-27 16:20:52,378 | WARN  | Transport Connection to: tcp://127.0.0.1:56148 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56148@61616
2018-10-27 16:20:52,378 | WARN  | Transport Connection to: tcp://127.0.0.1:56080 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56080@61616
2018-10-27 16:20:52,378 | WARN  | Transport Connection to: tcp://127.0.0.1:56076 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56076@61616
2018-10-27 16:20:52,378 | WARN  | Transport Connection to: tcp://127.0.0.1:56073 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56073@61616
2018-10-27 16:20:52,378 | WARN  | Transport Connection to: tcp://127.0.0.1:56072 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56072@61616
2018-10-27 16:20:52,378 | WARN  | Transport Connection to: tcp://127.0.0.1:56068 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56068@61616
2018-10-27 16:20:52,378 | WARN  | Transport Connection to: tcp://127.0.0.1:56062 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56062@61616
2018-10-27 16:20:52,377 | WARN  | Transport Connection to: tcp://127.0.0.1:56066 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56066@61616
2018-10-27 16:20:52,377 | WARN  | Transport Connection to: tcp://127.0.0.1:56147 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56147@61616
2018-10-27 16:20:52,377 | WARN  | Transport Connection to: tcp://127.0.0.1:56059 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56059@61616
2018-10-27 16:20:52,377 | WARN  | Transport Connection to: tcp://127.0.0.1:56060 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56060@61616
2018-10-27 16:20:52,377 | WARN  | Transport Connection to: tcp://127.0.0.1:56055 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56055@61616
2018-10-27 16:20:52,377 | WARN  | Transport Connection to: tcp://127.0.0.1:56056 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56056@61616
2018-10-27 16:20:52,377 | WARN  | Transport Connection to: tcp://127.0.0.1:56054 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56054@61616
2018-10-27 16:20:52,377 | WARN  | Transport Connection to: tcp://127.0.0.1:56049 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56049@61616
2018-10-27 16:20:52,377 | WARN  | Transport Connection to: tcp://127.0.0.1:56047 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56047@61616
2018-10-27 16:20:52,377 | WARN  | Transport Connection to: tcp://127.0.0.1:56045 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56045@61616
2018-10-27 16:20:52,377 | WARN  | Transport Connection to: tcp://127.0.0.1:56046 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56046@61616
2018-10-27 16:20:52,377 | WARN  | Transport Connection to: tcp://127.0.0.1:56044 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56044@61616
2018-10-27 16:20:52,377 | WARN  | Transport Connection to: tcp://127.0.0.1:56043 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56043@61616
2018-10-27 16:20:52,377 | WARN  | Transport Connection to: tcp://127.0.0.1:56040 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56040@61616
2018-10-27 16:20:52,377 | WARN  | Transport Connection to: tcp://127.0.0.1:56038 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56038@61616
2018-10-27 16:20:52,377 | WARN  | Transport Connection to: tcp://127.0.0.1:56036 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56036@61616
2018-10-27 16:20:52,377 | WARN  | Transport Connection to: tcp://127.0.0.1:56035 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56035@61616
2018-10-27 16:20:52,377 | WARN  | Transport Connection to: tcp://127.0.0.1:56034 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56034@61616
2018-10-27 16:20:52,377 | WARN  | Transport Connection to: tcp://127.0.0.1:56033 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56033@61616
2018-10-27 16:20:52,377 | WARN  | Transport Connection to: tcp://127.0.0.1:56030 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56030@61616
2018-10-27 16:20:52,377 | WARN  | Transport Connection to: tcp://127.0.0.1:56026 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56026@61616
2018-10-27 16:20:52,377 | WARN  | Transport Connection to: tcp://127.0.0.1:56027 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56027@61616
2018-10-27 16:20:52,377 | WARN  | Transport Connection to: tcp://127.0.0.1:56023 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56023@61616
2018-10-27 16:20:52,377 | WARN  | Transport Connection to: tcp://127.0.0.1:56022 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56022@61616
2018-10-27 16:20:52,377 | WARN  | Transport Connection to: tcp://127.0.0.1:56024 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56024@61616
2018-10-27 16:20:52,377 | WARN  | Transport Connection to: tcp://127.0.0.1:56020 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56020@61616
2018-10-27 16:20:52,377 | WARN  | Transport Connection to: tcp://127.0.0.1:56017 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56017@61616
2018-10-27 16:20:52,377 | WARN  | Transport Connection to: tcp://127.0.0.1:56013 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56013@61616
2018-10-27 16:20:52,377 | WARN  | Transport Connection to: tcp://127.0.0.1:56019 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56019@61616
2018-10-27 16:20:52,377 | WARN  | Transport Connection to: tcp://127.0.0.1:56009 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56009@61616
2018-10-27 16:20:52,377 | WARN  | Transport Connection to: tcp://127.0.0.1:56014 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56014@61616
2018-10-27 16:20:52,377 | WARN  | Transport Connection to: tcp://127.0.0.1:56008 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56008@61616
2018-10-27 16:20:52,377 | WARN  | Transport Connection to: tcp://127.0.0.1:56141 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56141@61616
2018-10-27 16:20:52,377 | WARN  | Transport Connection to: tcp://127.0.0.1:56007 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56007@61616
2018-10-27 16:20:52,377 | WARN  | Transport Connection to: tcp://127.0.0.1:56004 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56004@61616
2018-10-27 16:20:52,377 | WARN  | Transport Connection to: tcp://127.0.0.1:56003 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56003@61616
2018-10-27 16:20:52,377 | WARN  | Transport Connection to: tcp://127.0.0.1:56155 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56155@61616
2018-10-27 16:20:52,377 | WARN  | Transport Connection to: tcp://127.0.0.1:55999 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55999@61616
2018-10-27 16:20:52,377 | WARN  | Transport Connection to: tcp://127.0.0.1:55991 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55991@61616
2018-10-27 16:20:52,377 | WARN  | Transport Connection to: tcp://127.0.0.1:55992 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55992@61616
2018-10-27 16:20:52,377 | WARN  | Transport Connection to: tcp://127.0.0.1:56139 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56139@61616
2018-10-27 16:20:52,377 | WARN  | Transport Connection to: tcp://127.0.0.1:55990 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55990@61616
2018-10-27 16:20:52,377 | WARN  | Transport Connection to: tcp://127.0.0.1:55989 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55989@61616
2018-10-27 16:20:52,377 | WARN  | Transport Connection to: tcp://127.0.0.1:55986 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55986@61616
2018-10-27 16:20:52,377 | WARN  | Transport Connection to: tcp://127.0.0.1:55984 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55984@61616
2018-10-27 16:20:52,377 | WARN  | Transport Connection to: tcp://127.0.0.1:55985 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55985@61616
2018-10-27 16:20:52,377 | WARN  | Transport Connection to: tcp://127.0.0.1:56138 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56138@61616
2018-10-27 16:20:52,377 | WARN  | Transport Connection to: tcp://127.0.0.1:55983 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55983@61616
2018-10-27 16:20:52,377 | WARN  | Transport Connection to: tcp://127.0.0.1:55982 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55982@61616
2018-10-27 16:20:52,377 | WARN  | Transport Connection to: tcp://127.0.0.1:55979 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55979@61616
2018-10-27 16:20:52,377 | WARN  | Transport Connection to: tcp://127.0.0.1:55978 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55978@61616
2018-10-27 16:20:52,377 | WARN  | Transport Connection to: tcp://127.0.0.1:55977 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55977@61616
2018-10-27 16:20:52,377 | WARN  | Transport Connection to: tcp://127.0.0.1:55976 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55976@61616
2018-10-27 16:20:52,377 | WARN  | Transport Connection to: tcp://127.0.0.1:55975 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55975@61616
2018-10-27 16:20:52,376 | WARN  | Transport Connection to: tcp://127.0.0.1:55974 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55974@61616
2018-10-27 16:20:52,376 | WARN  | Transport Connection to: tcp://127.0.0.1:55973 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55973@61616
2018-10-27 16:20:52,376 | WARN  | Transport Connection to: tcp://127.0.0.1:55970 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55970@61616
2018-10-27 16:20:52,376 | WARN  | Transport Connection to: tcp://127.0.0.1:55971 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55971@61616
2018-10-27 16:20:52,376 | WARN  | Transport Connection to: tcp://127.0.0.1:55967 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55967@61616
2018-10-27 16:20:52,376 | WARN  | Transport Connection to: tcp://127.0.0.1:55969 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55969@61616
2018-10-27 16:20:52,376 | WARN  | Transport Connection to: tcp://127.0.0.1:55968 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55968@61616
2018-10-27 16:20:52,376 | WARN  | Transport Connection to: tcp://127.0.0.1:56136 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:56136@61616
2018-10-27 16:20:52,376 | WARN  | Transport Connection to: tcp://127.0.0.1:55965 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55965@61616
2018-10-27 16:20:52,376 | WARN  | Transport Connection to: tcp://127.0.0.1:55963 failed: java.io.EOFException | org.apache.activemq.broker.TransportConnection.Transport | ActiveMQ Transport: tcp:///127.0.0.1:55963@61616
